               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.069354,            0.090039,           0.0020965,              0.5769,             0.45503,             0.42258,             0.11015,            0.068187,            0.069431,            0.001528,            0.008845,            0.008845,            0.008845
                  37,            0.070115,            0.087876,           0.0017794,             0.55157,             0.45715,             0.42594,             0.10997,            0.068044,            0.070022,           0.0010667,            0.008812,            0.008812,            0.008812
                  38,            0.071069,            0.096926,           0.0016872,             0.39174,             0.48796,             0.36061,            0.091343,            0.073937,            0.070496,           0.0012542,            0.008779,            0.008779,            0.008779
                  39,            0.069443,             0.09895,           0.0019308,             0.50349,             0.39472,             0.34472,            0.090171,            0.070589,            0.068101,           0.0013306,            0.008746,            0.008746,            0.008746
                  40,            0.074584,             0.09142,           0.0020117,             0.36606,             0.43409,             0.22699,            0.054581,            0.066558,            0.068447,           0.0012604,            0.008713,            0.008713,            0.008713
                  41,            0.074902,             0.11668,           0.0025177,             0.53617,             0.40995,             0.37965,            0.092787,            0.068819,            0.069114,           0.0014618,             0.00868,             0.00868,             0.00868
                  42,            0.069061,            0.090879,           0.0022414,             0.57795,             0.51088,             0.47734,             0.13118,            0.063684,            0.068567,           0.0012951,            0.008647,            0.008647,            0.008647
                  43,            0.069567,            0.091976,           0.0027361,             0.53446,             0.54107,              0.5017,             0.13895,            0.062625,            0.066962,           0.0012082,            0.008614,            0.008614,            0.008614
                  44,            0.068866,             0.10372,           0.0020373,             0.44664,             0.44071,             0.36283,            0.093669,            0.064959,            0.063607,           0.0013006,            0.008581,            0.008581,            0.008581
                  45,            0.067415,            0.093283,           0.0023384,              0.4214,             0.52422,             0.39229,             0.11264,            0.063775,            0.065763,           0.0012127,            0.008548,            0.008548,            0.008548
                  46,            0.072071,            0.094666,           0.0019012,             0.41397,             0.44122,             0.31733,            0.079108,            0.069421,            0.063158,            0.001073,            0.008515,            0.008515,            0.008515
                  47,            0.071255,            0.091645,           0.0017761,             0.53528,             0.55128,             0.50362,             0.13844,            0.061378,            0.065448,           0.0010524,            0.008482,            0.008482,            0.008482
                  48,            0.069441,            0.093289,            0.001488,             0.58431,             0.54442,             0.53451,             0.15697,             0.06164,            0.064755,           0.0009777,            0.008449,            0.008449,            0.008449
                  49,            0.070393,             0.10222,           0.0016984,             0.26623,             0.38949,             0.21141,            0.045808,            0.069242,            0.059653,          0.00093846,            0.008416,            0.008416,            0.008416
                  50,            0.071178,            0.095638,           0.0016339,             0.52959,             0.54061,             0.48951,             0.12173,            0.063395,            0.064433,           0.0011016,            0.008383,            0.008383,            0.008383
                  51,            0.070987,            0.090693,           0.0016357,             0.62848,              0.5341,             0.52611,             0.14497,            0.064268,            0.064415,           0.0012646,             0.00835,             0.00835,             0.00835
                  52,            0.063184,              0.1039,           0.0017651,             0.64119,             0.48563,              0.4949,             0.13384,            0.063468,            0.063771,           0.0010533,            0.008317,            0.008317,            0.008317
                  53,            0.066213,              0.1042,           0.0014388,             0.55139,             0.57103,             0.53297,             0.14661,            0.060566,            0.064063,           0.0008976,            0.008284,            0.008284,            0.008284
                  54,            0.063697,            0.086847,            0.001584,             0.56244,             0.57435,             0.55827,             0.16779,            0.056905,            0.063204,          0.00097954,            0.008251,            0.008251,            0.008251
                  55,            0.065039,              0.1012,           0.0015143,             0.66507,             0.54905,             0.56844,             0.17491,            0.057809,            0.067623,          0.00075166,            0.008218,            0.008218,            0.008218
                  56,            0.063211,            0.086546,           0.0017819,             0.63122,             0.55565,             0.53706,             0.15961,            0.057424,            0.069791,           0.0009166,            0.008185,            0.008185,            0.008185
                  57,            0.065896,            0.091321,           0.0014928,             0.71804,             0.43835,             0.42628,             0.11302,            0.060158,            0.071385,          0.00074688,            0.008152,            0.008152,            0.008152
                  58,            0.064217,            0.099265,           0.0020596,             0.61726,             0.48131,             0.47868,             0.14238,            0.062655,            0.065688,          0.00084941,            0.008119,            0.008119,            0.008119
                  59,            0.063641,            0.076776,           0.0013439,             0.68047,             0.51308,             0.52006,             0.14328,            0.064916,              0.0766,          0.00081106,            0.008086,            0.008086,            0.008086
                  60,            0.064953,            0.073904,           0.0014035,             0.54633,             0.55469,             0.51731,             0.14655,              0.0615,            0.062275,          0.00071501,            0.008053,            0.008053,            0.008053
                  61,            0.069496,            0.090823,           0.0041524,             0.50925,             0.47557,             0.42037,             0.10294,            0.060747,            0.061575,           0.0008176,             0.00802,             0.00802,             0.00802
                  62,            0.067929,             0.07697,           0.0020342,              0.5647,             0.55099,             0.49311,             0.13829,            0.058842,            0.061327,          0.00082622,            0.007987,            0.007987,            0.007987
                  63,            0.064752,            0.090663,           0.0017649,             0.67837,             0.57887,             0.59306,             0.17381,            0.054792,            0.062927,          0.00093748,            0.007954,            0.007954,            0.007954
                  64,            0.069574,             0.10347,           0.0015313,              0.6919,             0.57118,             0.61157,             0.17919,            0.056435,             0.06177,          0.00088539,            0.007921,            0.007921,            0.007921
                  65,            0.074672,             0.08215,           0.0064377,              0.4711,             0.36149,             0.29736,            0.074074,            0.069679,            0.060534,           0.0018732,            0.007888,            0.007888,            0.007888
                  66,            0.066242,            0.078842,           0.0017073,             0.63867,             0.43646,              0.4412,             0.14654,            0.057799,            0.063207,           0.0010055,            0.007855,            0.007855,            0.007855
                  67,            0.066906,            0.082221,           0.0013279,              0.6934,             0.47565,             0.48414,             0.15003,            0.057795,            0.062384,           0.0010805,            0.007822,            0.007822,            0.007822
                  68,            0.065151,             0.11851,           0.0019097,             0.68197,             0.31863,             0.32913,            0.095086,            0.059488,            0.063189,           0.0010469,            0.007789,            0.007789,            0.007789
                  69,             0.06459,            0.095387,           0.0013715,             0.67785,             0.54836,             0.53945,             0.15932,            0.062067,            0.059797,           0.0008746,            0.007756,            0.007756,            0.007756
                  70,            0.066362,            0.091298,           0.0014741,             0.69359,             0.44868,             0.45619,             0.13538,            0.063401,            0.061895,          0.00095196,            0.007723,            0.007723,            0.007723
                  71,            0.058854,            0.071292,           0.0013664,             0.63775,             0.50017,             0.51368,             0.13799,            0.062562,            0.060576,          0.00081834,             0.00769,             0.00769,             0.00769
                  72,            0.064739,            0.073455,           0.0011461,             0.67488,             0.60943,              0.6014,             0.16936,            0.056749,            0.058974,          0.00082062,            0.007657,            0.007657,            0.007657
                  73,            0.065484,            0.093634,           0.0015003,             0.70522,             0.53392,             0.56584,             0.14718,            0.059083,            0.059655,          0.00090596,            0.007624,            0.007624,            0.007624
                  74,            0.065485,            0.083344,           0.0015197,             0.70028,             0.56152,             0.58711,             0.16813,            0.054324,            0.057571,          0.00092933,            0.007591,            0.007591,            0.007591
                  75,            0.058767,            0.060076,           0.0013362,             0.70097,             0.62735,             0.64399,             0.19348,            0.056197,            0.060611,          0.00083901,            0.007558,            0.007558,            0.007558
                  76,            0.064039,             0.13409,           0.0027333,             0.70842,             0.65345,             0.66235,             0.21394,            0.053132,            0.058084,          0.00086152,            0.007525,            0.007525,            0.007525
                  77,             0.06686,            0.084326,           0.0014598,              0.4906,             0.55048,             0.48558,             0.13387,            0.074343,            0.055371,          0.00086703,            0.007492,            0.007492,            0.007492
                  78,            0.063713,             0.09469,           0.0015418,             0.66887,             0.66459,             0.64491,             0.20484,             0.05381,            0.058431,          0.00098563,            0.007459,            0.007459,            0.007459
                  79,            0.060981,             0.10577,            0.001089,              0.7401,             0.65537,             0.65879,             0.22182,             0.05339,            0.058648,          0.00096908,            0.007426,            0.007426,            0.007426
                  80,            0.060633,             0.11377,           0.0012114,             0.77114,             0.59542,              0.6309,             0.18887,            0.053854,            0.057498,          0.00096993,            0.007393,            0.007393,            0.007393
                  81,            0.062909,             0.10394,           0.0013314,             0.73131,              0.5658,             0.60818,             0.18893,            0.051578,            0.064016,          0.00065285,             0.00736,             0.00736,             0.00736
                  82,            0.059091,            0.097728,            0.001241,             0.64942,             0.62456,             0.62915,             0.18645,            0.060901,            0.056535,           0.0008514,            0.007327,            0.007327,            0.007327
                  83,            0.064506,            0.084399,           0.0012592,              0.5645,             0.55031,             0.51907,             0.14186,            0.066179,            0.054058,          0.00076133,            0.007294,            0.007294,            0.007294
                  84,            0.066638,            0.073314,           0.0014121,             0.51579,             0.63319,             0.45743,             0.11787,            0.054886,            0.056159,          0.00067681,            0.007261,            0.007261,            0.007261
                  85,             0.07009,            0.099113,            0.001653,             0.65665,             0.67186,             0.65528,             0.18713,            0.055758,            0.055191,           0.0009558,            0.007228,            0.007228,            0.007228
                  86,            0.061517,            0.091431,           0.0014575,             0.76285,             0.63074,             0.66487,             0.21564,            0.052572,            0.059381,          0.00088922,            0.007195,            0.007195,            0.007195
                  87,            0.060874,            0.071071,           0.0014708,             0.75868,             0.69243,             0.72479,             0.24241,            0.047521,            0.054281,          0.00082047,            0.007162,            0.007162,            0.007162
                  88,            0.058084,            0.089065,           0.0012719,             0.75982,              0.6784,             0.70263,             0.23069,            0.048197,            0.055993,          0.00085466,            0.007129,            0.007129,            0.007129
                  89,            0.061325,            0.090616,           0.0011974,             0.78459,             0.69116,             0.73769,             0.23999,            0.049649,             0.05434,          0.00076418,            0.007096,            0.007096,            0.007096
                  90,            0.059703,             0.07181,            0.001118,             0.82107,             0.72512,             0.76657,             0.26543,            0.046669,            0.052387,          0.00074856,            0.007063,            0.007063,            0.007063
                  91,            0.056887,            0.088041,           0.0014228,             0.81563,             0.72636,             0.76954,             0.27137,            0.048584,            0.052868,          0.00073479,             0.00703,             0.00703,             0.00703
                  92,            0.057275,            0.072885,           0.0010613,             0.65194,             0.57545,             0.57361,             0.14913,            0.056875,            0.051343,          0.00071689,            0.006997,            0.006997,            0.006997
                  93,            0.060967,            0.086187,           0.0010542,             0.68426,             0.66033,             0.64075,             0.18239,            0.050628,            0.055301,          0.00064884,            0.006964,            0.006964,            0.006964
                  94,            0.060915,            0.078359,            0.001017,             0.70707,              0.6035,             0.62135,             0.18276,            0.054558,            0.058545,          0.00073034,            0.006931,            0.006931,            0.006931
                  95,            0.058761,            0.089223,           0.0012233,             0.72061,             0.70346,             0.71727,             0.23145,             0.04856,            0.054886,          0.00056895,            0.006898,            0.006898,            0.006898
                  96,            0.058091,            0.072358,           0.0010508,             0.71136,             0.68256,             0.69234,             0.21729,            0.053381,            0.054416,          0.00055647,            0.006865,            0.006865,            0.006865
